frame	intra_count
0	3
1	1
2	2
3	0
4	0
5	0
6	2
7	2
8	1
9	0
10	1
11	1
12	0
13	1
14	0
15	0
16	3
17	0
18	1
19	2
20	0
21	1
22	2
23	1
24	1
25	0
26	1
27	0
28	2
29	2
30	1
31	1
32	1
33	3
34	2
35	2
36	3
37	2
38	2
39	1
40	0
41	1
42	2
43	1
44	1
45	3
46	3
47	1
48	2
49	1
50	1
51	2
52	1
53	3
54	2
55	1
56	3
57	0
58	0
59	2
60	2
61	1
62	2
63	1
64	1
65	2
66	1
67	2
68	1
69	2
70	0
71	4
72	1
73	1
74	2
75	0
76	1
77	0
78	1
79	1
80	1
81	2
82	3
83	2
84	3
85	1
86	1
87	1
88	2
89	3
90	2
91	4
92	4
93	2
94	2
95	4
96	1
97	2
98	2
99	2
100	2
101	4
102	3
103	3
104	2
105	3
106	2
107	4
108	0
109	2
110	3
111	1
112	4
113	3
114	1
115	4
116	3
117	4
118	1
119	1
120	1
121	2
122	2
123	1
124	5
125	1
126	3
127	3
128	3
129	2
130	6
131	3
132	2
133	0
134	0
135	4
136	2
137	3
138	2
139	5
140	3
141	1
142	1
143	5
144	1
145	0
146	2
147	3
148	3
149	1
150	2
151	2
152	2
153	3
154	1
155	1
156	4
157	1
158	1
159	1
160	3
161	1
162	2
163	2
164	2
165	3
166	0
167	3
168	2
169	2
170	1
171	1
172	1
173	2
174	3
175	3
176	1
177	3
178	2
179	3
180	2
181	2
182	1
183	1
184	1
185	2
186	3
187	3
188	2
189	6
190	1
191	2
192	5
193	3
194	3
195	1
196	3
197	1
198	3
199	2
200	4
201	3
202	0
203	2
204	1
205	2
206	3
207	3
208	4
209	5
210	4
211	3
212	4
213	5
214	6
215	2
216	6
217	0
218	5
219	3
220	6
221	3
222	3
223	4
224	5
225	4
226	2
227	2
228	5
229	2
230	3
231	2
232	5
233	3
234	3
235	3
236	4
237	3
238	4
239	2
240	4
241	3
242	2
243	4
244	3
245	3
246	3
247	2
248	3
249	3
250	2
251	4
252	4
253	3
254	3
255	4
256	4
257	2
258	4
259	1
260	4
261	2
262	5
263	4
264	4
265	3
266	1
267	4
268	4
269	5
270	3
271	3
272	4
273	1
274	3
275	2
276	3
277	2
278	4
279	3
280	3
281	4
282	2
283	5
284	4
285	1
286	4
287	3
288	4
289	2
290	2
291	2
292	3
293	3
294	3
295	2
296	2
297	2
298	3
299	4
300	4
301	4
302	3
303	3
304	3
305	3
306	4
307	3
308	4
309	1
310	1
311	5
312	3
313	2
314	3
315	2
316	3
317	4
318	0
319	1
320	2
321	4
322	2
323	0
324	3
325	3
326	2
327	4
328	0
329	3
330	1
331	1
332	0
333	0
334	1
335	3
336	3
337	4
338	4
339	3
340	4
341	4
342	3
343	3
344	1
345	0
346	4
347	1
348	1
349	2
350	5
351	4
352	4
353	2
354	3
355	4
356	4
357	2
358	8
359	3
360	1
361	5
362	6
363	2
364	4
365	4
366	1
367	4
368	4
369	3
370	4
371	2
372	4
373	4
374	3
375	2
376	4
377	4
378	2
379	6
380	4
381	4
382	6
383	4
384	5
385	5
386	6
387	3
388	5
389	4
390	7
391	3
392	4
393	4
394	3
395	3
396	4
397	6
398	3
399	3
400	5
401	5
402	4
403	4
404	5
405	2
406	3
407	6
408	4
409	3
410	4
411	6
412	4
413	5
414	3
415	6
416	7
417	5
418	3
419	5
420	0
421	6
422	2
423	5
424	5
425	4
426	5
427	4
428	3
429	3
430	3
431	6
432	2
433	3
434	4
435	4
436	3
437	3
438	4
439	5
440	4
441	3
442	4
443	3
444	5
445	4
446	5
447	3
448	4
449	2
450	7
451	6
452	4
453	4
454	2
455	6
456	3
457	2
458	6
459	2
460	7
461	4
462	6
463	1
464	7
465	8
466	3
467	4
468	5
469	4
470	6
471	5
472	3
473	3
474	3
475	5
476	4
477	4
478	1
479	3
480	4
481	6
482	6
483	4
484	2
485	4
486	2
487	3
488	3
489	5
490	6
491	5
492	4
493	3
494	3
495	3
496	3
497	5
498	2
499	3
500	6
501	2
502	2
503	3
504	1
505	4
506	5
507	6
508	5
509	4
510	2
511	2
512	4
513	4
514	3
515	1
516	4
517	4
518	2
519	3
520	3
521	5
522	6
523	1
524	4
525	1
526	3
527	2
528	3
529	3
530	4
531	5
532	3
533	4
534	6
535	4
536	5
537	5
538	7
539	1
540	2
541	4
542	3
543	4
544	4
545	2
546	2
547	3
548	4
549	4
