frame	intra_count
0	0
1	2
2	6
3	8
4	5
5	7
6	7
7	5
8	7
9	6
10	5
11	4
12	4
13	6
14	14
15	6
16	9
17	9
18	13
19	10
20	9
21	16
22	11
23	11
24	11
25	5
26	9
27	10
28	13
29	15
30	18
31	14
32	17
33	15
34	17
35	19
36	20
37	13
38	18
39	12
40	14
41	11
42	12
43	15
44	17
45	11
46	12
47	17
48	8
49	19
50	18
51	21
52	27
53	21
54	21
55	18
56	19
57	15
58	16
59	22
60	22
61	22
62	25
63	21
64	21
65	27
66	22
67	24
68	17
69	17
70	21
71	19
72	17
73	21
74	15
75	22
76	18
77	29
78	18
79	16
80	17
81	21
82	20
83	19
84	20
85	23
86	18
87	23
88	20
89	27
90	27
91	29
92	23
93	12
94	18
95	25
96	26
97	24
98	24
99	23
100	16
101	19
102	18
103	24
104	25
105	22
106	16
107	18
108	24
109	19
110	25
111	21
112	25
113	19
114	17
115	23
116	20
117	20
118	19
119	17
120	19
121	19
122	24
123	20
124	27
125	22
126	23
127	25
128	21
129	27
130	31
131	29
132	28
133	22
134	22
135	27
136	21
137	29
138	19
139	19
140	21
141	23
142	21
143	20
144	24
145	25
146	20
147	20
148	23
149	22
150	17
151	21
152	18
153	15
154	21
155	18
156	23
157	23
158	18
159	18
160	22
161	16
162	17
163	21
164	17
165	21
166	15
167	22
168	19
169	22
170	24
171	26
172	27
173	17
174	21
175	25
176	20
177	16
178	25
179	19
180	18
181	21
182	20
183	17
184	17
185	20
186	19
187	21
188	25
189	26
190	21
191	19
192	22
193	25
194	15
195	19
196	18
197	25
198	24
199	22
200	20
201	26
202	21
203	18
204	19
205	18
206	14
207	18
208	17
209	16
210	19
211	15
212	21
213	22
214	19
215	16
216	20
217	19
218	23
219	24
220	19
221	23
222	18
223	19
224	22
225	18
226	19
227	20
228	16
229	21
230	21
231	22
232	26
233	18
234	22
235	20
236	17
237	22
238	12
239	20
240	22
241	26
242	25
243	18
244	18
245	21
246	17
247	20
248	21
249	17
250	20
251	15
252	16
253	23
254	21
255	23
256	21
257	25
258	24
259	23
260	24
261	19
262	17
263	20
264	20
265	30
266	22
267	18
268	23
269	21
270	19
271	16
272	22
273	20
274	19
275	21
276	19
277	16
278	16
279	20
280	21
281	19
282	17
283	18
284	25
285	21
286	17
287	16
288	22
289	18
290	24
291	23
292	19
293	21
294	13
295	19
296	17
297	14
298	16
299	19
300	18
301	19
302	28
303	18
304	20
305	20
306	12
307	16
308	16
309	21
310	19
311	20
312	13
313	15
314	16
315	15
316	17
317	12
318	16
319	21
320	20
321	19
322	18
323	19
324	13
325	15
326	20
327	21
328	15
329	24
330	19
331	15
332	16
333	17
334	20
335	18
336	23
337	17
338	23
339	25
340	17
341	17
342	22
343	16
344	24
345	16
346	14
347	19
348	23
349	25
350	21
351	15
352	17
353	24
354	19
355	14
356	18
357	16
358	21
359	15
360	13
361	21
362	25
363	18
364	25
365	19
366	18
367	16
368	18
369	18
370	20
371	21
372	18
373	17
374	20
375	22
376	24
377	14
378	22
379	20
380	26
381	22
382	22
383	14
384	17
385	11
386	18
387	19
388	14
389	23
390	20
391	20
392	17
393	19
394	18
395	20
396	17
397	16
398	17
399	15
400	17
401	18
402	16
403	22
404	15
405	19
406	20
407	18
408	19
409	22
410	12
411	19
412	11
413	17
414	20
415	25
416	20
417	22
418	26
419	30
420	18
421	21
422	28
423	21
424	14
425	14
426	15
427	18
428	15
429	15
430	18
431	17
432	18
433	15
434	16
435	14
436	20
437	21
438	19
439	16
440	19
441	12
442	20
443	18
444	19
445	21
446	21
447	15
448	22
449	19
450	17
451	25
452	18
453	18
454	22
455	19
456	18
457	16
458	21
459	14
460	15
461	22
462	20
463	15
464	21
465	20
466	17
467	17
468	17
469	19
470	11
471	11
472	17
473	20
474	19
475	14
476	19
477	13
478	16
479	15
480	15
481	15
482	17
483	16
484	18
485	18
486	23
487	16
488	15
489	16
490	19
491	15
492	14
493	17
494	23
495	16
496	18
497	19
498	14
499	23
500	21
501	20
502	21
503	21
504	17
505	18
506	17
507	19
508	23
509	25
510	21
511	17
512	26
513	24
514	27
515	23
516	27
517	22
518	24
519	17
520	25
521	20
522	19
523	24
524	28
525	18
526	15
527	15
528	26
529	18
530	16
531	26
532	16
533	19
534	18
535	21
536	16
537	17
538	23
539	23
540	15
541	22
542	19
543	20
544	20
545	14
546	19
547	20
548	20
549	21
550	20
551	20
552	25
553	28
554	23
555	20
556	25
557	20
558	22
559	26
560	20
561	19
562	21
563	14
564	17
565	18
566	20
567	20
568	21
569	21
570	21
571	19
572	19
573	15
574	16
575	24
576	18
577	20
578	14
579	17
580	16
581	20
582	18
583	24
584	19
585	18
586	19
587	21
588	15
589	20
590	17
591	23
592	16
593	21
594	21
595	21
596	16
597	14
598	24
599	18
600	24
601	22
602	17
603	19
604	17
605	18
606	13
607	22
608	15
609	21
610	23
611	23
612	17
613	18
614	17
615	20
616	20
617	15
618	25
619	20
620	20
621	22
622	20
623	26
624	23
625	21
626	25
627	21
628	21
629	22
630	18
631	20
632	19
633	21
634	22
635	19
636	20
637	19
638	18
639	23
640	15
641	17
642	20
643	18
644	20
645	21
646	19
647	19
648	18
649	20
650	17
651	23
652	18
653	16
654	21
655	25
656	19
657	13
658	20
659	22
660	20
661	15
662	21
663	16
664	18
665	19
666	20
667	17
668	18
669	17
670	21
671	15
672	18
673	22
674	23
675	14
676	19
677	18
678	25
679	24
680	22
681	19
682	23
683	18
684	21
685	27
686	21
687	18
688	13
689	24
690	18
691	17
692	22
693	19
694	18
695	24
696	17
697	17
698	20
699	19
700	18
701	14
702	26
703	12
704	21
705	22
706	21
707	31
708	26
709	21
710	21
711	17
712	27
713	22
714	20
715	26
716	27
717	27
718	24
719	22
720	25
721	20
722	21
723	26
724	17
725	25
726	21
727	24
728	24
729	19
730	20
731	23
732	26
733	21
734	26
735	22
736	25
737	23
738	26
739	23
740	22
741	26
742	29
743	23
744	24
745	25
746	28
747	29
748	19
749	19
750	23
751	27
752	28
753	19
754	29
755	24
756	22
757	25
758	22
759	20
760	24
761	25
762	27
763	23
764	23
765	29
766	29
767	22
768	27
769	26
770	20
771	24
772	29
773	24
774	32
775	26
776	23
777	18
778	31
779	18
780	29
781	18
782	21
783	25
784	20
785	21
786	20
787	21
788	21
789	18
790	26
791	19
792	21
793	26
794	16
795	25
796	21
797	20
798	24
799	20
800	16
801	18
802	19
803	20
804	20
805	20
806	22
807	28
808	22
809	22
810	24
811	30
812	22
813	24
814	17
815	20
816	20
817	30
818	25
819	27
820	18
821	19
822	23
823	22
824	18
825	25
826	23
827	26
828	18
829	23
830	25
831	22
832	18
833	22
834	18
835	22
836	23
837	23
838	25
839	20
840	20
841	26
842	16
843	15
844	25
845	25
846	28
847	22
848	19
849	26
850	29
851	23
852	21
853	19
854	20
855	29
856	25
857	17
858	21
859	23
860	21
861	23
862	22
863	20
864	31
865	21
866	20
867	28
868	25
869	22
870	21
871	24
872	21
873	17
874	21
875	22
876	21
877	21
878	27
879	21
880	24
881	16
882	26
883	20
884	22
885	18
886	23
887	27
888	22
889	20
890	24
891	27
892	21
893	23
894	24
895	22
896	20
897	20
898	20
899	24
900	26
901	24
902	21
903	23
904	21
905	22
906	23
907	26
908	19
909	19
910	23
911	23
912	25
913	22
914	21
915	24
916	23
917	21
918	25
919	21
920	19
921	24
922	18
923	29
924	22
925	31
926	21
927	20
928	16
929	26
930	19
931	21
932	22
933	25
934	23
935	23
936	22
937	20
938	22
939	18
940	22
941	22
942	22
943	20
944	22
945	25
946	15
947	24
948	20
949	23
950	22
951	24
952	24
953	21
954	20
955	24
956	26
957	26
958	22
959	20
960	21
961	24
962	20
963	24
964	20
965	14
966	22
967	27
968	17
969	20
970	28
971	19
972	21
973	22
974	23
975	26
976	25
977	23
978	31
979	27
980	18
981	21
982	22
983	15
984	24
985	20
986	18
987	18
988	24
989	26
990	25
991	18
992	25
993	17
994	18
995	20
996	19
997	15
998	19
999	18
1000	19
1001	23
1002	17
1003	17
1004	25
1005	26
1006	14
1007	22
1008	23
1009	24
1010	24
1011	21
1012	18
1013	24
1014	26
1015	23
1016	25
1017	21
1018	17
1019	22
1020	27
1021	16
1022	21
1023	24
1024	23
1025	24
1026	22
1027	28
1028	17
1029	23
1030	20
1031	18
1032	21
1033	21
1034	22
1035	26
1036	25
1037	25
1038	22
1039	20
1040	22
1041	25
1042	22
1043	29
1044	26
1045	22
1046	23
1047	17
1048	30
1049	30
1050	23
1051	26
1052	29
1053	25
1054	26
1055	26
1056	29
1057	22
1058	26
1059	21
1060	26
1061	20
1062	23
1063	23
1064	16
1065	28
1066	21
1067	16
1068	24
1069	32
1070	29
1071	27
1072	22
1073	28
1074	30
1075	27
1076	23
1077	25
1078	23
1079	24
1080	23
1081	29
1082	22
1083	22
1084	19
1085	23
1086	21
1087	25
1088	23
1089	16
1090	28
1091	18
1092	26
1093	22
1094	18
1095	16
1096	20
1097	32
1098	22
1099	29
1100	19
1101	22
1102	28
1103	17
1104	28
1105	24
1106	28
1107	18
1108	18
1109	21
1110	27
1111	23
1112	22
1113	24
1114	22
1115	24
1116	24
1117	17
1118	18
1119	14
1120	22
1121	25
1122	23
1123	19
1124	22
1125	19
1126	17
1127	18
1128	21
1129	21
1130	26
1131	24
1132	27
1133	24
1134	20
1135	24
1136	18
1137	21
1138	22
1139	19
1140	14
1141	21
1142	23
1143	20
1144	28
1145	25
1146	21
1147	19
1148	27
1149	20
1150	21
1151	25
1152	21
1153	17
1154	20
1155	14
1156	23
1157	16
1158	25
1159	18
1160	15
1161	22
1162	21
1163	20
1164	18
1165	17
1166	21
1167	28
1168	18
1169	21
1170	25
1171	19
1172	15
1173	19
1174	21
1175	25
1176	19
1177	22
1178	18
1179	25
1180	15
1181	16
1182	15
1183	16
1184	21
1185	21
1186	19
1187	19
1188	18
1189	18
1190	17
1191	22
1192	17
1193	19
1194	19
1195	17
1196	11
1197	17
1198	14
1199	19
1200	19
1201	21
1202	9
1203	16
1204	15
1205	20
1206	15
1207	20
1208	14
1209	19
1210	19
1211	15
1212	17
1213	16
1214	22
1215	20
1216	16
1217	25
1218	23
1219	20
1220	22
1221	21
1222	15
1223	15
1224	20
1225	23
1226	21
1227	20
1228	21
1229	22
1230	22
1231	21
1232	21
1233	15
