frame	intra_count
0	72
1	88
2	71
3	72
4	74
5	66
6	74
7	75
8	78
9	74
10	81
11	80
12	81
13	73
14	81
15	81
16	74
17	76
18	65
19	70
20	71
21	83
22	81
23	79
24	85
25	86
26	75
27	76
28	75
29	74
30	81
31	81
32	67
33	75
34	80
35	78
36	69
37	80
38	70
39	74
40	78
41	68
42	75
43	75
44	72
45	86
46	73
47	68
48	78
49	80
50	70
51	77
52	79
53	79
54	86
55	91
56	74
57	80
58	80
59	82
60	79
61	72
62	79
63	76
64	81
65	77
66	83
67	77
68	87
69	84
70	81
71	76
72	83
73	79
74	80
75	80
76	88
77	85
78	77
79	76
80	69
81	78
82	83
83	74
84	74
85	80
86	70
87	72
88	87
89	86
90	74
91	77
92	72
93	78
94	67
95	81
96	84
97	75
98	81
99	69
100	75
101	68
102	77
103	77
104	83
105	75
106	67
107	71
108	78
109	75
110	80
111	74
112	79
113	68
114	75
115	69
116	74
117	77
118	64
119	67
120	75
121	67
122	68
123	68
124	64
125	82
126	75
127	74
128	79
129	75
130	79
131	77
132	71
133	67
134	78
135	80
136	75
137	77
138	78
139	69
140	78
141	72
142	66
143	63
144	66
145	61
146	81
147	74
148	80
149	79
150	60
151	77
152	69
153	60
154	65
155	73
156	59
157	76
158	63
159	66
160	70
161	63
162	88
163	76
164	75
165	67
166	72
167	68
168	79
169	72
170	74
171	67
172	70
173	69
174	73
175	77
176	74
177	65
178	73
179	78
180	68
181	70
182	77
183	64
184	84
185	74
186	68
187	66
188	76
189	63
190	77
191	75
192	63
193	70
194	67
195	74
196	68
197	77
198	67
199	69
200	66
201	66
202	73
203	63
204	74
205	72
206	66
207	69
208	67
209	64
210	70
211	72
212	70
213	66
214	71
215	65
216	62
217	66
218	58
219	58
220	69
221	65
222	65
223	60
224	63
225	69
226	59
227	62
228	65
229	72
230	74
231	68
232	64
233	64
234	74
235	70
236	55
237	74
238	61
239	68
240	56
241	68
242	65
243	70
244	68
245	60
246	71
247	64
248	61
249	68
250	75
251	65
252	66
253	55
254	63
255	72
256	72
257	58
258	65
259	64
260	65
261	69
262	68
263	77
264	67
265	63
266	61
267	81
268	63
269	69
270	71
271	65
272	77
273	71
274	74
275	64
276	67
277	62
278	57
279	68
280	70
281	66
282	78
283	72
284	72
285	55
286	60
287	77
288	74
289	70
290	74
291	63
292	70
293	72
294	76
295	64
296	74
297	76
298	82
299	64
300	75
301	75
302	66
303	66
304	71
305	70
306	66
307	68
308	62
309	71
310	69
311	67
312	68
313	73
314	75
315	56
316	70
317	68
318	66
319	66
320	71
321	53
322	70
323	68
324	81
325	67
326	64
327	73
328	73
329	69
330	69
331	67
332	69
333	71
334	73
335	78
336	73
337	69
338	64
339	66
340	81
341	77
342	74
343	81
344	68
345	60
346	70
347	73
348	67
349	66
350	72
351	67
352	60
353	65
354	70
355	71
356	73
357	68
358	76
359	75
360	72
361	83
362	71
363	67
364	77
365	75
366	70
367	67
368	63
369	71
370	72
371	79
372	70
373	90
374	76
375	73
376	64
377	80
378	73
379	70
380	73
381	76
382	78
383	72
384	65
385	68
386	63
387	78
388	66
389	72
390	72
391	65
392	75
393	71
394	82
395	65
396	66
397	73
398	71
399	65
400	74
401	68
402	65
403	69
404	69
405	77
406	70
407	62
408	72
409	74
410	65
411	70
412	67
413	72
414	65
415	61
416	65
417	68
418	62
419	67
420	62
421	72
422	68
423	69
424	77
425	61
426	73
427	60
428	66
429	70
430	68
431	73
432	73
433	76
434	78
435	78
436	79
437	60
438	65
439	71
440	58
441	67
442	62
443	74
444	70
445	83
446	64
447	68
448	60
449	71
450	72
451	56
452	65
453	66
454	73
455	75
456	80
457	68
458	72
459	62
460	73
461	75
462	79
463	72
464	69
465	79
466	71
467	68
468	69
469	75
470	67
471	63
472	66
473	64
474	73
475	78
476	75
477	75
478	67
479	74
480	70
481	81
482	71
483	65
484	68
485	77
486	74
487	65
488	62
489	65
490	70
491	70
492	72
493	68
494	69
495	76
496	83
497	63
498	73
499	65
500	54
501	69
502	79
503	66
504	74
505	65
506	77
507	65
508	60
509	67
510	71
511	69
512	63
513	63
514	71
515	67
516	74
517	65
518	71
519	58
520	66
521	74
522	62
523	64
524	78
525	65
526	78
527	66
528	65
529	67
530	72
531	70
532	71
533	59
534	68
535	70
536	71
537	65
538	78
539	65
540	57
541	73
542	71
543	67
544	64
545	77
546	66
547	67
548	72
549	66
550	66
551	65
552	72
553	69
554	74
555	79
556	79
557	69
558	70
559	77
560	62
561	75
562	65
563	65
564	67
565	63
566	70
567	73
568	67
569	73
570	67
571	70
572	61
573	59
574	61
575	68
576	62
577	71
578	70
579	65
580	70
581	65
582	81
583	75
584	71
585	69
586	62
587	63
588	60
589	72
590	56
591	66
592	63
593	68
594	74
595	74
596	68
597	70
598	67
599	71
600	63
601	66
602	69
603	79
604	68
605	66
606	61
607	69
608	67
609	71
610	67
611	63
612	64
613	71
614	74
615	62
616	68
617	77
618	65
619	71
620	82
621	69
622	71
623	83
624	53
625	69
626	60
627	69
628	64
629	64
630	60
631	56
632	67
633	69
634	74
635	64
636	71
637	57
638	71
639	60
640	71
641	78
642	63
643	74
644	63
645	69
646	78
647	75
648	67
649	68
650	67
651	69
652	60
653	66
654	69
655	68
656	78
657	66
658	71
659	70
660	69
661	62
662	78
663	65
664	86
665	58
666	61
667	57
668	71
669	70
670	71
671	70
672	68
673	63
674	73
675	73
676	63
677	55
678	72
679	65
680	72
681	70
682	84
683	73
684	84
685	81
686	66
687	73
688	74
689	64
690	73
691	68
692	65
693	76
694	66
695	70
696	71
697	67
698	67
699	68
700	59
701	70
702	59
703	78
704	66
705	68
706	69
707	68
708	62
709	71
710	73
711	71
712	68
713	63
714	58
715	64
716	70
717	65
718	61
719	62
720	69
721	69
722	68
723	68
724	67
725	66
726	71
727	76
728	67
729	81
730	69
731	62
732	55
733	67
734	69
735	66
736	64
737	63
738	64
739	60
740	62
741	72
742	70
743	68
744	71
745	71
746	74
747	59
748	76
749	76
750	73
751	69
752	69
753	67
754	65
755	66
756	63
757	72
758	61
759	70
760	70
761	73
762	65
763	62
764	61
765	73
766	62
767	63
768	63
769	66
770	70
771	62
772	69
773	70
774	71
775	70
776	71
777	77
778	62
779	69
780	69
781	72
782	76
783	64
784	81
785	87
786	75
787	66
788	70
789	72
790	57
791	73
792	63
793	82
794	69
795	70
796	72
797	66
798	68
799	63
800	61
801	65
802	66
803	71
804	61
805	71
806	73
807	65
808	78
809	73
810	76
811	74
812	67
813	65
814	62
815	64
816	61
817	65
818	67
819	76
820	64
821	62
822	66
823	82
824	68
825	81
826	79
827	69
828	65
829	63
830	71
831	69
832	74
833	67
834	66
835	71
836	63
837	70
838	59
839	57
840	63
841	69
842	71
843	75
844	70
845	61
846	60
847	71
848	68
849	67
850	75
851	78
852	77
853	68
854	64
855	70
856	70
857	67
858	70
859	68
860	64
861	55
862	68
863	67
864	62
865	58
866	57
867	68
868	63
869	70
870	72
871	67
872	60
873	74
874	59
875	77
876	69
877	73
878	69
879	61
880	67
881	66
882	57
883	56
884	68
885	70
886	73
887	71
888	72
889	63
890	58
891	65
892	61
893	62
894	63
895	72
896	64
897	71
898	64
899	61
900	65
901	60
902	62
903	61
904	63
905	63
906	60
907	71
908	63
909	67
910	56
911	63
912	63
913	67
914	64
915	63
916	54
917	70
918	52
919	68
920	68
921	67
922	70
923	64
924	64
925	70
926	65
927	65
928	62
929	56
930	62
931	60
932	69
933	66
934	66
935	64
936	68
937	62
938	66
939	52
940	59
941	66
942	62
943	73
944	70
945	68
946	59
947	69
948	64
949	64
950	59
951	66
952	65
953	67
954	73
955	69
956	68
957	62
958	62
959	71
960	70
961	71
962	55
963	61
964	68
965	47
966	62
967	59
968	58
969	69
970	64
971	65
972	66
973	64
974	65
975	67
976	58
977	57
978	65
979	69
980	49
981	63
982	55
983	62
984	73
985	65
986	72
987	64
988	70
989	68
990	62
991	67
992	69
993	60
994	61
995	67
996	65
997	66
998	65
999	69
1000	57
1001	63
1002	56
1003	61
1004	60
1005	65
1006	58
1007	60
1008	70
1009	76
1010	69
1011	65
1012	75
1013	70
1014	62
1015	70
1016	59
1017	65
1018	52
1019	64
1020	71
1021	62
1022	66
1023	66
1024	67
1025	55
1026	62
1027	73
1028	67
1029	58
1030	64
1031	60
1032	68
1033	66
1034	62
1035	66
1036	65
1037	68
1038	60
1039	60
1040	63
1041	64
1042	64
1043	68
1044	71
1045	53
1046	74
1047	59
1048	50
1049	65
1050	58
1051	63
1052	65
1053	65
1054	62
1055	53
1056	72
1057	63
1058	68
1059	64
1060	60
1061	71
1062	61
1063	67
1064	56
1065	65
1066	67
1067	56
1068	67
1069	63
1070	59
1071	64
1072	58
1073	57
1074	52
1075	65
1076	66
1077	56
1078	61
1079	53
1080	76
1081	56
1082	70
1083	60
1084	49
1085	61
1086	65
1087	68
1088	58
1089	58
1090	60
1091	61
1092	54
1093	53
1094	49
1095	58
1096	66
1097	60
1098	58
1099	57
1100	67
1101	67
1102	66
1103	66
1104	63
1105	63
1106	59
1107	62
1108	65
1109	64
1110	72
1111	51
1112	55
1113	57
1114	63
1115	61
1116	68
1117	73
1118	76
1119	60
1120	57
1121	62
1122	62
1123	60
1124	62
1125	56
1126	62
1127	63
1128	65
1129	63
1130	51
1131	66
1132	67
1133	59
1134	66
1135	69
1136	57
1137	68
1138	65
1139	68
1140	65
1141	58
1142	59
1143	70
1144	60
1145	63
1146	66
1147	65
1148	75
1149	66
1150	64
1151	62
1152	60
1153	60
1154	50
1155	57
1156	62
1157	62
1158	59
1159	59
1160	59
1161	60
1162	73
1163	68
1164	65
1165	59
1166	59
1167	57
1168	57
1169	62
1170	58
1171	70
1172	59
1173	68
1174	68
1175	72
1176	68
1177	51
1178	63
1179	57
1180	69
1181	66
1182	76
1183	62
1184	71
1185	63
1186	64
1187	66
1188	69
1189	68
1190	69
1191	66
1192	63
1193	65
1194	62
1195	70
1196	70
1197	65
1198	66
1199	64
1200	65
1201	55
1202	61
1203	63
1204	68
1205	64
1206	64
1207	65
1208	61
1209	71
1210	66
1211	70
1212	71
1213	73
1214	81
1215	71
1216	62
1217	64
1218	69
1219	62
1220	64
1221	60
1222	62
1223	67
1224	67
1225	62
1226	71
1227	64
1228	68
1229	76
1230	72
1231	72
1232	66
1233	72
1234	73
1235	67
1236	58
1237	67
1238	66
1239	63
1240	65
1241	83
1242	56
1243	61
1244	67
1245	69
1246	63
1247	67
1248	66
1249	73
1250	60
1251	62
1252	67
1253	62
1254	63
1255	73
1256	64
1257	71
1258	67
1259	58
1260	51
1261	66
1262	68
1263	59
1264	68
1265	60
1266	66
1267	66
1268	66
1269	59
1270	64
1271	55
1272	62
1273	58
1274	63
1275	61
1276	52
1277	54
1278	63
1279	56
1280	67
1281	56
1282	64
1283	64
1284	66
1285	63
1286	58
1287	61
1288	53
1289	63
1290	58
1291	62
1292	53
1293	67
1294	59
1295	47
1296	71
1297	62
1298	68
1299	59
1300	62
1301	55
1302	61
1303	65
1304	50
1305	59
1306	71
1307	72
1308	56
1309	61
1310	52
1311	73
1312	68
1313	63
1314	60
1315	66
1316	68
1317	66
1318	69
1319	54
1320	55
1321	67
1322	52
1323	66
1324	59
1325	62
1326	63
1327	60
1328	54
1329	51
1330	66
1331	54
1332	64
1333	58
1334	53
1335	56
1336	49
1337	58
1338	66
1339	52
1340	54
1341	53
1342	64
1343	61
1344	49
1345	56
1346	60
1347	65
1348	57
1349	66
1350	58
1351	59
1352	59
1353	51
1354	52
1355	48
1356	49
1357	58
1358	58
1359	53
1360	69
1361	52
1362	45
1363	56
1364	61
1365	67
1366	48
1367	53
1368	63
1369	65
1370	50
1371	51
1372	53
1373	49
1374	55
1375	51
1376	64
1377	51
1378	57
1379	54
1380	59
1381	57
1382	56
1383	50
1384	53
1385	57
1386	52
1387	43
1388	60
1389	50
1390	53
1391	50
1392	54
1393	50
1394	53
1395	62
1396	54
1397	52
1398	52
1399	45
1400	54
1401	45
1402	55
1403	52
1404	42
1405	47
1406	55
1407	62
1408	57
1409	63
1410	39
1411	54
1412	47
1413	56
1414	56
1415	51
1416	56
1417	47
1418	56
1419	57
1420	48
1421	52
1422	61
1423	57
1424	52
1425	53
1426	52
1427	52
1428	54
1429	44
1430	51
1431	56
1432	54
1433	52
1434	51
1435	54
1436	44
1437	50
1438	50
1439	45
1440	53
1441	53
1442	37
1443	50
1444	42
1445	56
1446	60
1447	57
1448	55
1449	52
1450	56
1451	62
1452	61
1453	58
1454	60
1455	58
1456	68
1457	55
1458	47
1459	58
1460	49
1461	54
1462	48
1463	48
1464	47
1465	49
1466	53
1467	52
1468	58
1469	68
1470	60
1471	62
1472	46
1473	69
1474	50
1475	53
1476	55
1477	54
1478	54
1479	54
1480	55
1481	59
1482	58
1483	56
1484	54
1485	61
1486	46
1487	44
1488	62
1489	56
1490	62
1491	49
1492	61
1493	64
1494	56
1495	52
1496	57
1497	52
1498	53
1499	54
1500	53
1501	59
1502	53
1503	53
1504	57
1505	56
1506	47
1507	60
1508	45
1509	62
1510	52
1511	53
1512	52
1513	53
1514	54
1515	47
1516	53
1517	51
1518	52
1519	53
1520	47
1521	56
1522	46
1523	56
1524	65
1525	53
1526	62
1527	55
1528	52
1529	52
1530	57
1531	53
1532	62
1533	67
1534	55
1535	59
1536	64
1537	51
1538	56
1539	50
1540	59
1541	53
1542	58
1543	59
1544	47
1545	57
1546	57
1547	50
1548	69
1549	54
1550	59
1551	53
1552	53
1553	50
1554	54
1555	45
1556	56
1557	50
1558	53
1559	58
1560	59
1561	51
1562	57
1563	51
1564	52
1565	69
1566	58
1567	53
1568	47
1569	53
1570	58
1571	56
1572	47
1573	54
1574	56
1575	51
1576	56
1577	50
1578	53
1579	56
1580	57
1581	69
1582	52
1583	61
1584	49
1585	63
1586	52
1587	55
1588	58
1589	51
1590	49
1591	41
1592	58
1593	44
1594	59
1595	54
1596	51
1597	57
1598	57
1599	55
1600	63
1601	52
1602	49
1603	58
1604	59
1605	49
1606	62
1607	61
1608	61
1609	54
1610	51
1611	55
1612	59
1613	59
1614	51
1615	56
1616	55
1617	57
1618	46
1619	53
1620	53
1621	55
1622	47
1623	53
1624	52
1625	52
1626	56
1627	55
1628	47
1629	56
1630	54
1631	56
1632	60
1633	59
1634	60
1635	50
1636	52
1637	54
1638	55
1639	60
1640	48
1641	58
1642	58
1643	54
1644	52
1645	54
1646	61
1647	57
1648	66
1649	51
1650	58
1651	61
1652	48
1653	59
1654	57
1655	58
1656	55
1657	67
1658	47
1659	71
1660	53
1661	52
1662	68
1663	55
1664	67
1665	52
1666	49
1667	57
1668	62
1669	62
1670	56
1671	58
1672	50
1673	46
1674	48
1675	52
1676	47
1677	52
1678	56
1679	58
1680	52
1681	50
1682	61
1683	55
1684	58
1685	59
1686	51
1687	56
1688	57
1689	67
1690	51
1691	56
1692	62
1693	60
1694	67
1695	59
1696	62
1697	55
1698	64
1699	52
1700	55
1701	56
1702	48
1703	59
1704	40
1705	64
1706	62
1707	59
1708	63
1709	58
1710	53
1711	57
1712	51
1713	44
1714	58
1715	51
1716	54
1717	58
1718	58
1719	55
1720	53
1721	54
1722	48
1723	54
1724	56
1725	47
1726	55
1727	59
1728	61
1729	55
1730	53
1731	55
1732	57
1733	58
1734	52
1735	52
1736	57
1737	62
1738	68
1739	56
1740	57
1741	52
1742	58
1743	50
1744	61
1745	53
1746	57
1747	53
1748	53
1749	58
1750	60
1751	47
1752	50
1753	56
1754	59
1755	54
1756	56
1757	61
1758	63
1759	55
1760	49
1761	52
1762	65
1763	54
1764	59
1765	49
1766	54
1767	66
1768	60
1769	57
1770	53
1771	55
1772	47
1773	56
1774	54
1775	46
1776	58
1777	47
1778	59
1779	66
1780	54
1781	55
1782	43
1783	53
1784	50
1785	56
1786	56
1787	55
1788	56
1789	61
1790	56
1791	58
1792	54
1793	46
1794	50
1795	54
1796	60
1797	46
1798	49
1799	54
1800	50
1801	55
1802	51
1803	54
1804	46
1805	49
1806	59
1807	63
1808	55
1809	55
1810	50
1811	40
1812	59
1813	48
1814	60
1815	54
1816	48
1817	54
1818	59
1819	60
1820	53
1821	58
1822	47
1823	55
1824	55
1825	50
1826	57
1827	56
1828	59
1829	49
1830	57
1831	57
1832	66
1833	58
1834	50
1835	57
1836	46
1837	56
1838	56
1839	51
1840	52
1841	67
1842	56
1843	60
1844	65
1845	56
1846	59
1847	63
1848	60
1849	64
1850	61
1851	61
1852	57
1853	60
1854	55
1855	58
1856	59
1857	53
1858	47
1859	54
1860	47
1861	46
1862	61
1863	57
1864	53
1865	48
1866	45
1867	62
1868	52
1869	49
1870	50
1871	45
1872	55
1873	49
1874	51
1875	59
1876	58
1877	57
1878	66
1879	47
1880	63
1881	49
1882	43
1883	52
1884	60
1885	45
1886	49
1887	54
1888	50
1889	43
1890	50
1891	52
1892	49
1893	43
1894	55
1895	53
1896	57
1897	47
1898	55
1899	53
1900	45
1901	47
1902	56
1903	41
1904	43
1905	65
1906	53
1907	49
1908	49
1909	52
1910	47
1911	59
1912	50
1913	56
1914	57
1915	53
1916	55
1917	53
1918	54
1919	58
1920	60
1921	57
1922	62
1923	71
1924	57
1925	58
1926	53
1927	54
1928	52
1929	56
1930	56
1931	50
1932	50
1933	62
1934	59
1935	54
1936	55
1937	52
1938	46
1939	51
1940	52
1941	53
1942	53
1943	52
1944	53
1945	52
1946	66
1947	57
1948	55
1949	66
1950	62
1951	51
1952	64
1953	57
1954	59
1955	58
1956	52
1957	54
1958	49
1959	58
1960	61
1961	60
1962	59
1963	58
1964	55
1965	54
1966	68
1967	52
1968	55
1969	67
1970	48
1971	59
1972	46
1973	56
1974	51
1975	55
1976	58
1977	59
1978	56
1979	62
1980	57
1981	55
1982	55
1983	51
1984	53
1985	62
1986	60
1987	46
1988	54
1989	52
1990	55
1991	51
1992	58
1993	59
1994	55
1995	53
1996	53
1997	57
1998	55
1999	57
2000	58
2001	51
2002	64
2003	62
2004	60
2005	62
2006	56
2007	55
2008	55
2009	55
2010	50
2011	65
2012	46
2013	57
2014	63
2015	52
2016	55
2017	57
2018	44
2019	48
2020	56
2021	56
2022	43
2023	58
2024	58
2025	50
2026	53
2027	60
2028	53
2029	64
2030	47
2031	51
2032	59
2033	54
2034	60
2035	62
2036	46
2037	57
2038	45
2039	49
2040	63
2041	53
2042	47
2043	51
2044	47
2045	50
2046	54
2047	60
2048	48
2049	52
2050	55
2051	51
2052	50
2053	49
2054	47
2055	55
2056	55
2057	65
2058	44
2059	48
2060	50
2061	59
2062	57
2063	55
2064	67
2065	53
2066	67
2067	65
2068	57
2069	54
2070	62
2071	64
2072	65
2073	60
2074	53
2075	62
2076	44
2077	46
2078	49
2079	55
2080	60
2081	61
2082	51
2083	55
2084	60
2085	62
2086	51
2087	62
2088	53
2089	51
2090	67
2091	64
2092	48
2093	57
2094	52
2095	54
2096	59
2097	54
2098	55
2099	58
2100	52
2101	50
2102	53
2103	55
2104	63
2105	54
2106	63
2107	55
2108	55
2109	55
2110	58
2111	55
2112	56
2113	65
2114	57
2115	59
2116	52
2117	53
2118	57
2119	48
2120	57
2121	46
2122	55
2123	59
2124	54
2125	67
2126	55
2127	62
2128	54
2129	61
2130	56
2131	63
2132	61
2133	55
2134	54
2135	54
2136	49
2137	68
2138	58
2139	50
2140	48
2141	57
2142	60
2143	58
2144	54
2145	52
2146	59
2147	53
2148	61
2149	65
2150	57
2151	55
2152	59
2153	43
2154	67
2155	69
2156	53
2157	51
2158	57
2159	61
2160	48
2161	41
2162	49
2163	57
2164	51
2165	49
2166	64
2167	57
2168	65
2169	44
2170	42
2171	44
2172	61
2173	59
2174	52
2175	52
2176	51
2177	55
2178	53
2179	52
2180	56
2181	54
2182	62
2183	55
2184	53
2185	56
2186	64
2187	47
2188	58
2189	56
2190	56
2191	60
2192	57
2193	53
2194	59
2195	55
2196	55
2197	64
2198	52
2199	47
2200	65
2201	57
2202	60
2203	55
2204	51
2205	60
2206	59
2207	56
2208	57
2209	59
2210	61
2211	58
2212	71
2213	56
2214	59
2215	49
2216	51
2217	55
2218	55
2219	49
2220	64
2221	51
2222	47
2223	56
2224	58
2225	42
2226	47
2227	53
2228	51
2229	57
2230	62
2231	51
2232	60
2233	53
2234	55
2235	50
2236	56
2237	47
2238	58
2239	54
2240	59
2241	48
2242	52
2243	53
2244	41
2245	54
2246	47
2247	48
2248	51
2249	56
2250	58
2251	62
2252	52
2253	48
2254	49
2255	55
2256	63
2257	52
2258	53
2259	50
2260	51
2261	56
2262	45
2263	49
2264	51
2265	68
2266	58
2267	58
2268	54
2269	47
2270	60
2271	55
2272	56
2273	52
2274	55
2275	63
2276	47
2277	56
2278	55
2279	58
2280	55
2281	60
2282	60
2283	47
2284	51
2285	53
2286	54
2287	59
2288	54
2289	48
2290	55
2291	59
2292	60
2293	47
2294	47
2295	59
2296	50
2297	55
2298	55
2299	62
2300	57
2301	49
2302	51
2303	54
2304	53
2305	54
2306	50
2307	57
2308	50
2309	54
2310	57
2311	53
2312	52
2313	51
2314	53
2315	51
2316	58
2317	50
2318	46
2319	51
2320	45
2321	48
2322	56
2323	59
2324	43
2325	54
2326	51
2327	45
2328	51
2329	49
2330	47
2331	63
2332	51
2333	44
2334	59
2335	51
2336	60
2337	47
2338	46
2339	57
2340	54
2341	55
2342	59
2343	46
2344	44
2345	61
2346	52
2347	51
2348	43
2349	49
2350	49
2351	51
2352	48
2353	46
2354	56
2355	52
2356	52
2357	55
2358	48
2359	53
2360	52
2361	53
2362	51
2363	49
2364	53
2365	51
2366	57
2367	57
2368	48
2369	51
2370	55
2371	53
2372	48
2373	57
2374	53
2375	44
2376	50
2377	54
2378	57
2379	55
2380	46
2381	51
2382	42
2383	54
2384	44
2385	59
2386	48
2387	51
2388	57
2389	50
2390	57
2391	53
2392	44
2393	43
2394	51
2395	55
2396	51
2397	52
2398	62
2399	60
2400	58
2401	53
2402	49
2403	45
2404	56
2405	53
2406	55
2407	52
2408	48
2409	52
2410	50
2411	44
2412	51
2413	56
2414	55
2415	48
2416	50
2417	49
2418	58
2419	52
2420	57
2421	52
2422	50
2423	48
2424	54
2425	48
2426	45
2427	57
2428	46
2429	46
2430	61
2431	58
2432	57
2433	46
2434	47
2435	53
2436	50
2437	61
2438	46
2439	59
2440	51
2441	53
2442	45
2443	47
2444	53
2445	51
2446	56
2447	51
2448	50
2449	60
2450	47
2451	53
2452	59
2453	53
2454	56
2455	49
2456	49
2457	54
2458	42
2459	53
2460	53
2461	56
2462	55
2463	54
2464	40
2465	48
2466	51
2467	44
2468	48
2469	48
2470	53
2471	50
2472	45
2473	49
2474	56
2475	62
2476	57
2477	53
2478	53
2479	59
2480	52
2481	55
2482	54
2483	51
2484	58
2485	42
2486	56
2487	53
2488	48
2489	46
2490	55
2491	51
2492	66
2493	56
2494	42
2495	49
2496	47
2497	54
2498	53
2499	46
2500	47
2501	45
2502	51
2503	58
2504	51
2505	49
2506	50
2507	44
2508	50
2509	48
2510	57
2511	40
2512	56
2513	54
2514	53
2515	51
2516	47
2517	56
2518	64
