frame	intra_count
0	0
1	2
2	3
3	11
4	7
5	7
6	6
7	4
8	5
9	10
10	10
11	8
12	11
13	10
14	10
15	9
16	7
17	12
18	12
19	13
20	6
21	11
22	9
23	16
24	18
25	7
26	10
27	13
28	13
29	13
30	14
31	13
32	11
33	10
34	5
35	12
36	10
37	12
38	13
39	12
40	12
41	12
42	10
43	11
44	16
45	8
46	6
47	10
48	11
49	15
50	13
51	9
52	12
53	11
54	12
55	11
56	12
57	15
58	13
59	10
60	19
61	13
62	13
63	13
64	15
65	13
66	12
67	12
68	13
69	10
70	10
71	13
72	20
73	14
74	10
75	16
76	14
77	14
78	13
79	14
80	16
81	9
82	13
83	13
84	13
85	18
86	13
87	11
88	17
89	16
90	18
91	14
92	19
93	17
94	18
95	20
96	23
97	29
98	25
99	20
100	19
101	24
102	19
103	24
104	17
105	20
106	17
107	19
108	23
109	22
110	22
111	22
112	27
113	20
114	20
115	24
116	22
117	13
118	16
119	16
120	15
121	17
122	16
123	15
124	14
125	17
126	9
127	14
128	11
129	14
130	12
131	13
132	20
133	20
134	12
135	14
136	13
137	12
138	15
139	20
140	14
141	15
142	15
143	13
144	17
145	14
146	20
147	16
148	16
149	10
150	10
151	12
152	18
153	18
154	17
155	16
156	18
157	11
158	20
159	15
160	17
161	18
162	15
163	16
164	10
165	15
166	14
167	16
168	16
169	16
170	13
171	16
172	5
173	16
174	12
175	19
176	16
177	11
178	20
179	11
180	19
181	17
182	17
183	21
184	14
185	16
186	15
187	14
188	17
189	16
190	16
191	10
192	11
193	18
194	13
195	11
196	11
197	15
198	17
199	10
200	15
201	15
202	15
203	13
204	16
205	12
206	18
207	17
208	9
209	16
210	14
211	13
212	11
213	17
214	19
215	13
216	18
217	13
218	13
219	12
220	9
221	16
222	15
223	18
224	12
225	16
226	17
227	15
228	19
229	17
230	20
231	22
232	21
233	14
234	14
235	17
236	16
237	18
238	14
239	22
240	20
241	16
242	17
243	17
244	11
245	15
246	16
247	19
248	22
249	16
250	17
251	16
252	20
253	20
254	22
255	30
256	19
257	20
258	22
259	18
260	20
261	19
262	23
263	18
264	18
265	16
266	30
267	23
268	25
269	20
270	16
271	20
272	13
273	19
274	21
275	21
276	18
277	18
278	15
279	19
280	13
281	12
282	17
283	15
284	20
285	17
286	19
287	24
288	22
289	20
290	16
291	17
292	20
293	15
294	16
295	15
296	16
297	23
298	16
299	21
300	12
301	15
302	21
303	17
304	17
305	16
306	14
307	13
308	16
309	14
310	15
311	20
312	18
313	16
314	19
315	19
316	15
317	13
318	17
319	25
320	22
321	19
322	16
323	18
324	19
325	16
326	16
327	20
328	18
329	23
330	24
331	23
332	21
333	18
334	15
335	20
336	13
337	19
338	13
339	12
340	13
341	17
342	21
343	12
344	14
345	19
346	15
347	15
348	20
349	23
350	20
351	18
352	19
353	17
354	16
355	17
356	17
357	15
358	20
359	22
360	16
361	15
362	18
363	15
364	15
365	20
366	20
367	18
368	23
369	15
370	19
371	23
372	28
373	20
374	15
375	16
376	16
377	20
378	21
379	23
380	20
381	24
382	24
383	22
384	18
385	28
386	23
387	20
388	21
389	25
390	26
391	19
392	20
393	20
394	17
395	25
396	22
397	24
398	26
399	31
400	16
401	24
402	25
403	21
404	24
405	20
406	23
407	29
408	27
409	21
410	19
411	24
412	19
413	23
414	21
415	20
416	22
417	22
418	19
419	20
420	26
421	17
422	20
423	23
424	26
425	24
426	27
427	25
428	26
429	22
430	17
431	27
432	27
433	21
434	23
435	18
436	22
437	24
438	28
439	24
440	19
441	17
442	23
443	22
444	20
445	24
446	24
447	23
448	31
449	21
450	31
451	24
452	25
453	28
454	23
455	25
456	22
457	27
458	32
459	20
460	26
461	25
462	24
463	28
464	24
465	24
466	27
467	29
468	27
469	22
470	21
471	30
472	28
473	21
474	18
475	21
476	24
477	23
478	27
479	20
480	20
481	26
482	22
483	23
484	32
485	24
486	22
487	26
488	22
489	23
490	23
491	16
492	24
493	15
494	23
495	21
496	20
497	27
498	15
499	17
500	22
501	26
502	15
503	27
504	26
505	27
506	24
507	21
508	16
509	18
510	16
511	20
512	14
513	19
514	16
515	18
516	24
517	24
518	24
519	21
520	24
521	19
522	28
523	29
524	23
525	24
526	22
527	19
528	27
529	21
530	23
531	30
532	21
533	23
534	18
535	21
536	27
537	18
538	19
539	21
540	17
541	26
542	24
543	21
544	22
545	18
546	19
547	20
548	16
549	15
550	18
551	18
552	20
553	18
554	16
555	16
556	23
557	24
558	23
559	14
560	17
561	18
562	15
563	19
564	20
565	25
566	27
567	19
568	29
569	16
570	20
571	19
572	20
573	19
574	14
575	17
576	19
577	29
578	17
579	19
580	18
581	24
582	21
583	17
584	19
585	17
586	20
587	23
588	24
589	22
590	22
591	19
592	20
593	21
594	17
595	12
596	24
597	17
598	18
599	20
600	19
601	18
602	19
603	19
604	22
605	28
606	20
607	22
608	24
609	18
610	19
611	23
612	20
613	19
614	24
615	23
616	21
617	20
618	21
619	23
620	22
621	23
622	25
623	24
624	19
625	22
626	22
627	27
628	23
629	23
630	27
631	24
632	29
633	16
634	23
635	23
636	19
637	18
638	19
639	18
640	18
641	21
642	20
643	17
644	24
645	18
646	19
647	19
648	21
649	22
650	23
651	25
652	24
653	24
654	29
655	21
656	18
657	18
658	22
659	24
660	16
661	29
662	20
663	22
664	24
665	29
666	26
667	22
668	28
669	18
670	21
671	20
672	21
673	24
674	24
675	16
676	23
677	23
678	17
679	19
680	21
681	25
682	16
683	15
684	21
685	21
686	21
687	27
688	20
689	20
690	22
691	20
692	21
693	21
694	15
695	19
696	23
697	17
698	27
699	23
700	24
701	17
702	23
703	20
704	21
705	22
706	20
707	21
708	17
709	19
710	23
711	21
712	23
713	18
714	20
715	24
716	17
717	30
718	21
719	27
720	29
721	29
722	25
723	27
724	18
725	28
726	21
727	21
728	20
729	19
730	24
731	26
732	19
733	25
734	23
735	24
736	24
737	21
738	23
739	31
740	25
741	19
742	23
743	20
744	36
745	25
746	25
747	24
748	23
749	30
750	30
751	28
752	26
753	35
754	29
755	19
756	22
757	25
758	29
759	31
760	29
761	28
762	28
763	32
764	24
765	27
766	28
767	28
768	19
769	21
770	30
771	21
772	24
773	20
774	24
775	15
776	26
777	29
778	24
779	27
780	23
781	28
782	30
783	27
784	25
785	29
786	27
787	20
788	35
789	23
790	22
791	24
792	26
793	23
794	21
795	22
796	21
797	24
798	23
799	24
800	27
801	26
802	24
803	20
804	27
805	21
806	23
807	19
808	22
809	16
810	23
811	25
812	34
813	22
814	26
815	28
816	19
817	24
818	27
819	19
820	24
821	24
822	23
823	23
824	26
825	22
826	28
827	17
828	30
829	20
830	24
831	25
832	25
833	37
834	26
835	31
836	28
837	23
838	23
839	28
840	25
841	32
842	27
843	25
844	32
845	28
846	32
847	27
848	28
849	26
850	23
851	26
852	32
853	28
854	28
855	24
856	29
857	29
858	32
859	28
860	30
861	26
862	28
863	27
864	30
865	27
866	27
867	27
868	25
869	25
870	32
871	18
872	25
873	19
874	23
875	23
876	28
877	24
878	24
879	26
880	16
881	25
882	18
883	17
884	19
885	17
886	26
887	26
888	19
889	21
890	25
891	24
892	20
893	19
894	23
895	20
896	27
897	21
898	25
899	30
900	20
901	28
902	22
903	23
904	22
905	20
906	19
907	20
908	16
909	22
910	24
911	30
912	25
913	19
914	23
915	18
916	24
917	21
918	26
919	24
920	30
921	25
922	30
923	26
924	21
925	20
926	29
927	19
928	18
929	22
930	28
931	28
932	19
933	23
934	23
935	30
936	24
937	20
938	21
939	18
940	25
941	27
942	19
943	21
944	25
945	17
946	23
947	18
948	27
949	21
950	17
951	17
952	21
953	21
954	20
955	24
956	24
957	19
958	22
959	19
960	25
961	19
962	20
963	24
964	29
965	24
966	18
967	23
968	21
969	20
970	25
971	19
972	21
973	24
974	19
975	22
976	20
977	15
978	18
979	18
980	20
981	19
982	19
983	27
984	24
985	21
986	18
987	22
988	28
989	16
990	21
991	21
992	23
993	20
994	20
995	29
996	25
997	23
998	26
999	30
1000	15
1001	21
1002	23
1003	20
1004	18
1005	23
1006	22
1007	26
1008	27
1009	25
1010	20
1011	24
1012	27
1013	15
1014	28
1015	19
1016	24
1017	28
1018	24
1019	20
1020	19
1021	26
1022	25
1023	19
1024	28
1025	22
1026	24
1027	23
1028	21
1029	32
1030	24
1031	25
1032	23
1033	30
1034	21
1035	21
1036	21
1037	16
1038	27
1039	21
1040	25
1041	22
1042	29
1043	19
1044	23
1045	21
1046	28
1047	27
1048	20
1049	20
1050	26
1051	30
1052	21
1053	24
1054	19
1055	30
1056	28
1057	20
1058	25
1059	29
1060	23
1061	21
1062	24
1063	29
1064	20
1065	18
1066	17
1067	23
1068	24
1069	25
1070	19
1071	25
1072	21
1073	15
1074	24
1075	22
1076	17
1077	20
1078	20
1079	25
1080	16
1081	22
1082	25
1083	19
1084	28
1085	26
1086	26
1087	19
1088	30
1089	30
1090	23
1091	25
1092	21
1093	22
1094	24
1095	30
1096	34
1097	25
1098	24
1099	22
1100	26
1101	24
1102	24
1103	24
1104	27
1105	24
1106	25
1107	24
1108	19
1109	27
1110	28
1111	26
1112	25
1113	19
1114	34
1115	29
1116	29
1117	26
1118	24
1119	30
1120	24
1121	27
1122	28
1123	28
1124	27
1125	20
1126	27
1127	22
1128	26
1129	27
1130	29
1131	32
1132	22
1133	22
1134	20
1135	30
1136	26
1137	28
1138	21
1139	31
1140	22
1141	20
1142	25
1143	23
1144	23
1145	21
1146	23
1147	25
1148	27
1149	32
1150	29
1151	22
1152	33
1153	24
1154	29
1155	23
1156	31
1157	23
1158	26
1159	36
1160	29
1161	28
1162	25
1163	33
1164	29
1165	29
1166	20
1167	25
1168	36
1169	29
1170	20
1171	23
1172	30
1173	29
1174	24
1175	24
1176	20
1177	27
1178	26
1179	32
1180	24
1181	25
1182	28
1183	26
1184	26
1185	22
1186	26
1187	26
1188	20
1189	30
1190	30
1191	29
1192	28
1193	30
1194	24
1195	30
1196	25
1197	28
1198	27
1199	26
1200	28
1201	20
1202	30
1203	25
1204	25
1205	22
1206	29
1207	28
1208	26
1209	30
1210	26
1211	28
1212	31
1213	32
1214	24
1215	25
1216	25
1217	22
1218	19
1219	30
1220	30
1221	26
1222	21
1223	24
1224	25
1225	33
1226	30
1227	28
1228	28
1229	32
1230	32
1231	27
1232	23
1233	28
