frame	intra_count
0	4
1	14
2	10
3	10
4	15
5	15
6	6
7	7
8	10
9	12
10	9
11	13
12	14
13	15
14	15
15	15
16	14
17	17
18	15
19	17
20	19
21	25
22	14
23	19
24	14
25	14
26	19
27	18
28	20
29	22
30	21
31	21
32	13
33	16
34	7
35	19
36	18
37	16
38	18
39	24
40	16
41	17
42	17
43	12
44	17
45	13
46	16
47	16
48	17
49	13
50	12
51	16
52	21
53	18
54	20
55	20
56	25
57	15
58	15
59	18
60	23
61	19
62	17
63	18
64	16
65	20
66	21
67	21
68	17
69	28
70	17
71	19
72	20
73	21
74	23
75	18
76	18
77	15
78	24
79	17
80	18
81	17
82	26
83	29
84	23
85	14
86	25
87	22
88	29
89	23
90	18
91	18
92	23
93	14
94	24
95	23
96	22
97	22
98	19
99	19
100	26
101	20
102	15
103	15
104	23
105	17
106	18
107	21
108	21
109	19
110	21
111	11
112	22
113	19
114	29
115	18
116	28
117	29
118	20
119	17
120	21
121	23
122	21
123	22
124	18
125	19
126	21
127	21
128	20
129	13
130	19
131	15
132	17
133	17
134	20
135	23
136	19
137	21
138	25
139	22
140	17
141	19
142	23
143	23
144	17
145	14
146	20
147	17
148	19
149	10
150	22
151	15
152	17
153	15
154	22
155	19
156	17
157	12
158	19
159	21
160	22
161	19
162	21
163	20
164	18
165	27
166	24
167	18
168	17
169	19
170	20
171	19
172	14
173	17
174	15
175	22
176	19
177	21
178	19
179	17
180	10
181	15
182	18
183	18
184	15
185	17
186	23
187	22
188	22
189	17
190	18
191	22
192	19
193	25
194	22
195	13
196	29
197	23
198	25
199	29
200	23
201	25
202	23
203	20
204	20
205	25
206	26
207	29
208	24
209	22
210	30
211	25
212	19
213	26
214	25
215	18
216	22
217	20
218	20
219	22
220	22
221	22
222	26
223	25
224	24
225	18
226	22
227	22
228	19
229	26
230	25
231	25
232	21
233	25
234	24
235	20
236	23
237	20
238	20
239	15
240	24
241	25
242	18
243	24
244	29
245	26
246	19
247	23
248	26
249	19
250	22
251	22
252	25
253	19
254	23
255	28
256	26
257	21
258	20
259	21
260	22
261	18
262	25
263	25
264	21
265	21
266	19
267	22
268	22
269	22
270	25
271	19
272	20
273	15
274	22
275	23
276	14
277	21
278	19
279	20
280	21
281	25
282	27
283	20
284	24
285	23
286	25
287	21
288	17
289	27
290	23
291	26
292	25
293	19
294	25
295	22
296	25
297	27
298	31
299	24
300	35
301	25
302	29
303	20
304	21
305	26
306	33
307	25
308	22
309	25
310	20
311	29
312	26
313	29
314	21
315	23
316	25
317	23
318	25
319	29
320	23
321	21
322	20
323	16
324	18
325	19
326	29
327	25
328	26
329	29
330	29
331	27
332	25
333	28
334	26
335	29
336	27
337	18
338	32
339	22
340	29
341	22
342	28
343	22
344	28
345	23
346	29
347	22
348	19
349	27
350	30
351	26
352	24
353	22
354	29
355	30
356	24
357	25
358	27
359	26
360	24
361	31
362	28
363	29
364	22
365	32
366	26
367	30
368	28
369	26
370	31
371	28
372	31
373	27
374	30
375	33
376	31
377	23
378	29
379	29
380	31
381	28
382	35
383	34
384	27
385	30
386	34
387	31
388	38
389	35
390	29
391	29
392	28
393	32
394	22
395	27
396	25
397	31
398	34
399	22
400	39
401	28
402	32
403	27
404	35
405	29
406	36
407	36
408	29
409	31
410	29
411	26
412	32
413	32
414	30
415	34
416	24
417	37
418	29
419	29
420	27
421	38
422	30
423	33
424	30
425	38
426	24
427	26
428	30
429	26
430	37
431	24
432	24
433	33
434	32
435	29
436	43
437	32
438	37
439	28
440	29
441	29
442	30
443	33
444	30
445	32
446	24
447	22
448	29
449	28
450	30
451	24
452	30
453	31
454	23
455	32
456	30
457	20
458	28
459	23
460	30
461	29
462	23
463	30
464	29
465	28
466	32
467	30
468	21
469	21
470	25
471	28
472	29
473	29
474	23
475	32
476	31
477	26
478	25
479	30
480	25
481	23
482	26
483	30
484	26
485	25
486	32
487	25
488	29
489	27
490	32
491	26
492	27
493	31
494	32
495	29
496	33
497	30
498	30
499	32
500	32
501	33
502	29
503	26
504	24
505	21
506	20
507	33
508	26
509	38
510	33
511	32
512	29
513	38
514	30
515	32
516	37
517	41
518	26
519	36
520	34
521	27
522	39
523	29
524	31
525	29
