frame	intra_count
0	2
1	9
2	3
3	9
4	5
5	8
6	7
7	6
8	7
9	5
10	6
11	5
12	4
13	1
14	6
15	7
16	6
17	5
18	4
19	5
20	10
21	8
22	8
23	9
24	12
25	9
26	11
27	10
28	14
29	8
30	8
31	12
32	6
33	12
34	15
35	14
36	8
37	16
38	12
39	13
40	12
41	14
42	7
43	13
44	12
45	10
46	11
47	9
48	12
49	9
50	12
51	14
52	12
53	12
54	12
55	9
56	20
57	14
58	11
59	14
60	14
61	15
62	9
63	14
64	15
65	11
66	13
67	10
68	19
69	13
70	13
71	10
72	19
73	16
74	12
75	14
76	9
77	13
78	15
79	14
80	12
81	15
82	14
83	14
84	10
85	18
86	10
87	11
88	14
89	17
90	14
91	15
92	15
93	9
94	12
95	14
96	25
97	14
98	17
99	15
100	20
101	21
102	17
103	17
104	15
105	14
106	23
107	13
108	13
109	16
110	17
111	14
112	13
113	12
114	22
115	13
116	18
117	20
118	13
119	18
120	15
121	19
122	13
123	17
124	17
125	16
126	10
127	20
128	13
129	13
130	11
131	12
132	19
133	10
134	16
135	14
136	13
137	6
138	13
139	11
140	11
141	12
142	14
143	14
144	14
145	11
146	11
147	14
148	14
149	16
150	10
151	14
152	12
153	16
154	19
155	18
156	8
157	14
158	16
159	14
160	13
161	12
162	12
163	14
164	10
165	15
166	11
167	16
168	13
169	12
170	11
171	11
172	15
173	21
174	12
175	12
176	15
177	17
178	16
179	13
180	11
181	17
182	18
183	15
184	18
185	17
186	16
187	14
188	17
189	9
190	15
191	14
192	13
193	15
194	12
195	16
196	9
197	16
198	15
199	13
200	15
201	14
202	16
203	12
204	8
205	15
206	14
207	10
208	12
209	11
210	13
211	17
212	17
213	11
214	16
215	16
216	13
217	12
218	8
219	13
220	9
221	15
222	16
223	15
224	13
225	16
226	13
227	14
228	13
229	15
230	15
231	11
232	20
233	11
234	11
235	15
236	11
237	19
238	19
239	10
240	21
241	18
242	15
243	9
244	16
245	16
246	14
247	21
248	16
249	17
250	14
251	22
252	16
253	14
254	13
255	19
256	15
257	15
258	15
259	13
260	16
261	16
262	16
263	15
264	15
265	15
266	18
267	15
268	21
269	17
270	19
271	17
272	16
273	15
274	13
275	19
276	17
277	9
278	20
279	16
280	19
281	15
282	20
283	16
284	19
285	18
286	16
287	17
288	19
289	19
290	17
291	17
292	22
293	20
294	19
295	19
296	12
297	14
298	17
299	23
300	19
301	18
302	16
303	22
304	19
305	15
306	25
307	15
308	16
309	22
310	12
311	14
312	15
313	18
314	20
315	13
316	13
317	19
318	20
319	15
320	19
321	22
322	27
323	24
324	18
325	18
326	15
327	26
328	18
329	30
330	21
331	19
332	18
333	14
334	17
335	22
336	13
337	16
338	12
339	21
340	16
341	13
342	16
343	19
344	22
345	11
346	14
347	25
348	17
349	19
350	15
351	17
352	18
353	16
354	15
355	16
356	23
357	14
358	11
359	16
360	20
361	11
362	13
363	17
364	16
365	17
366	12
367	17
368	13
369	16
370	14
371	16
372	17
373	18
374	20
375	16
376	15
377	19
378	19
379	21
380	15
381	19
382	29
383	22
384	19
385	21
386	19
387	19
388	22
389	19
390	15
391	12
392	24
393	13
394	15
395	20
396	15
397	20
398	20
399	20
400	20
401	24
402	13
403	18
404	21
405	18
406	15
407	17
408	22
409	26
410	24
411	22
412	17
413	17
414	21
415	20
416	16
417	25
418	15
419	21
420	21
421	17
422	21
423	16
424	20
425	24
426	25
427	16
428	18
429	27
430	13
431	25
432	20
433	16
434	19
435	17
436	15
437	15
438	15
439	14
440	13
441	19
442	18
443	22
444	24
445	23
446	22
447	14
448	16
449	20
450	16
451	20
452	14
453	9
454	15
455	19
456	23
457	15
458	18
459	24
460	20
461	18
462	17
463	20
464	20
465	23
466	28
467	20
468	19
469	20
470	21
471	16
472	19
473	17
474	14
475	15
476	20
477	16
478	20
479	24
480	19
481	17
482	23
483	16
484	20
485	21
486	15
487	19
488	22
489	15
490	12
491	19
492	13
493	22
494	23
495	19
496	23
497	23
498	22
499	26
500	17
501	24
502	24
503	17
504	24
505	20
506	26
507	21
508	24
509	21
510	15
511	27
512	16
513	22
514	17
515	23
516	23
517	19
518	22
519	25
520	19
521	26
522	20
523	20
524	21
525	19
526	15
527	20
528	22
529	21
530	20
531	20
532	22
533	20
534	22
535	26
536	22
537	18
538	25
539	22
540	16
541	24
542	23
543	17
544	20
545	20
546	23
547	21
548	22
549	27
550	17
551	22
552	23
553	20
554	17
555	27
556	11
557	18
558	14
559	19
560	21
561	20
562	20
563	20
564	20
565	18
566	20
567	18
568	17
569	9
570	19
571	16
572	25
573	21
574	17
575	22
576	19
577	20
578	17
579	25
580	19
581	24
582	19
583	19
584	13
585	22
586	23
587	27
588	15
589	17
590	21
591	22
592	20
593	19
594	23
595	27
596	27
597	22
598	19
599	16
600	17
601	21
602	19
603	27
604	27
605	20
606	17
607	24
608	24
609	15
610	26
611	23
612	30
613	22
614	26
615	16
616	16
617	20
618	23
619	20
620	24
621	22
622	26
623	24
624	19
625	17
626	17
627	20
628	20
629	20
630	23
631	23
632	13
633	24
634	26
635	20
636	18
637	22
638	17
639	21
640	19
641	21
642	13
643	17
644	12
645	16
646	16
647	20
648	19
649	23
650	13
651	19
652	15
653	21
654	24
655	21
656	17
657	19
658	24
659	22
660	20
661	20
662	20
663	15
664	16
665	23
666	13
667	27
668	23
669	21
670	19
671	12
672	24
673	16
674	22
675	16
676	18
677	17
678	19
679	18
680	16
681	15
682	21
683	20
684	20
685	11
686	19
687	18
688	25
689	22
690	16
691	18
692	13
693	17
694	21
695	18
696	16
697	17
698	17
699	18
700	20
701	15
702	18
703	17
704	18
705	15
706	14
707	15
708	10
709	15
710	19
711	16
712	18
713	14
714	17
715	17
716	16
717	17
718	11
719	20
720	13
721	18
722	17
723	17
724	18
725	17
726	19
727	14
728	9
729	15
730	15
731	19
732	20
733	20
734	13
735	15
736	21
737	16
738	18
739	18
740	21
741	14
742	21
743	18
744	19
745	12
746	15
747	14
748	16
749	15
750	16
751	23
752	16
753	20
754	23
755	19
756	18
757	18
758	18
759	17
760	16
761	14
762	16
763	19
764	22
765	23
766	20
767	27
768	19
769	16
770	18
771	16
772	18
773	21
774	15
775	26
776	17
777	27
778	16
779	26
780	20
781	22
782	16
783	19
784	21
785	19
786	18
787	21
788	18
789	18
790	18
791	22
792	19
793	16
794	16
795	24
796	15
797	24
798	19
799	23
800	25
801	21
802	22
803	20
804	19
805	18
806	21
807	21
808	19
809	17
810	24
811	17
812	23
813	10
814	16
815	18
816	13
817	19
818	19
819	23
820	17
821	20
822	19
823	20
824	18
825	23
826	15
827	19
828	23
829	21
830	15
831	16
832	16
833	27
834	11
835	17
836	11
837	17
838	18
839	33
840	24
841	21
842	19
843	17
844	14
845	25
846	19
847	15
848	25
849	13
850	24
851	14
852	19
853	14
854	11
855	21
856	20
857	14
858	14
859	14
860	19
861	23
862	24
863	22
864	20
865	22
866	20
867	15
868	21
869	21
870	20
871	16
872	24
873	15
874	22
875	19
876	19
877	16
878	15
879	23
880	14
881	25
882	15
883	17
884	22
885	27
886	17
887	17
888	20
889	12
890	16
891	24
892	21
893	17
894	17
895	20
896	20
897	18
898	22
899	14
900	22
901	18
902	24
903	21
904	23
905	17
906	19
907	24
908	23
909	17
910	22
911	23
912	24
913	15
914	13
915	21
916	15
917	18
918	20
919	17
920	17
921	19
922	17
923	19
924	20
925	15
926	24
927	17
928	21
929	22
930	16
931	29
932	21
933	19
934	22
935	19
936	26
937	26
938	17
939	19
940	22
941	16
942	22
943	22
944	15
945	20
946	26
947	19
948	18
949	17
950	14
951	14
952	28
953	20
954	12
955	20
956	17
957	26
958	11
959	22
960	14
961	19
962	19
963	14
964	16
965	12
966	17
967	15
968	19
969	21
970	22
971	13
972	13
973	13
974	13
975	12
976	20
977	13
978	17
979	16
980	16
981	15
982	12
983	17
984	18
985	23
986	14
987	13
988	19
989	14
990	11
991	18
992	14
993	15
994	18
995	16
996	11
997	16
998	13
999	12
1000	15
1001	18
1002	17
1003	19
1004	20
1005	30
1006	16
1007	12
1008	19
1009	13
1010	16
1011	19
1012	16
1013	17
1014	13
1015	15
